min,sec,tag,
4,12,조끼팀 역습에서 가랑이 사이로 2대1 패스후 빈 골대에 마무리,
8,36,조끼팀 빠른 역습 후 강력한 슈팅 ⚽️,
15,16,조끼팀 왼쪽에서 키퍼 가랑이 사이로 정확하게 마무리 ⚽️,
16,31,조끼팀 오른쪽에서 득점 ⚽️,
18,11,일반팀 부상 ❗,
18,47,일반팀 키퍼 맞고 나온 공 침착하게 마무리 ⚽️,
21,52,조끼팀 골대 정면에서 키퍼 가랑이 사이로 골 ⚽️,
21,55,******1쿼터 종료******,
28,11,******2쿼터 시작******,
29,30,일반팀 빈골대로 찬 공 키퍼 달려와서 선방,
30,58,일반팀 오른쪽에서 낮은 크로스 후 정확한 마무리 ⚽️,
34,16,일반팀 왼쪽에서 강력한 슈팅 골대,
36,1,일반팀 부드럽게 반대 전환 후 깔끔한 득점 ⚽️,
37,51,조끼팀 왼쪽에서 강력한 왼발 슛 골대 맞고 득점 ⚽️,
38,44,일반팀 오른쪽에서 강력한 레이저 슈팅 ⚽️,
41,4,일반팀 득점 ⚽️,
41,56,일반팀 왼쪽에서 강력한 슈팅 막았지만 득점 ⚽️,
44,14,일반팀 수비에서 좋은 패스를 받아 인스텝 마무리 ⚽️,
46,43,일반팀 속공에서 좋은 패스플레이 후 마무리 ⚽️,
47,24,일반팀 골대 정면 중거리슛 골대맞고 득점 ⚽️,
48,48,일반팀 연속 슈팅 후 세번때만에 마무리 ⚽️,
49,11,일반팀 골⚽️,
49,36,일반팀 골 ⚽️,
49,45,******2쿼터 종료******,
55,34,******3쿼터 시작******,
57,32,일반팀 빠른 횡패스 플레이로 득점 ⚽️,
58,42,조끼팀 좋은 패스 플레이로 득점 ⚽️,
59,6,일반팀 중앙에서 슛 득점 ⚽️,
60,11,알번탐 중앙에서 강력한 슈팅이 골대 강타 ,
60,50,조끼팀 왼쪽에서 슛 득점 ⚽️,
64,7,조끼팀 중앙에서 패스 받아 깔끔한 마무리 ⚽️,
64,57,"일반팀 중앙에서 돌파 후 골대, 이후 패스플레이로 득점 ⚽️",
68,44,일반팀 핸들,
69,54,일반팀 왼쪽에서 슛 그러나 골대,
70,17,일반팀 짧게 띄우는 패스 이후 깔끔한 마무리 ⚽️,
71,20,조끼팀 코너킥 상황에서 왼쪽에서 마무리 ⚽️,
72,17,일반팀 측면 몸싸움 후 쓰러짐 ❗,
73,2,일반팀 득점 ⚽️,
75,2,일반팀 마르세유턴,
75,33,******3쿼터 종료******,
82,0,******4쿼터 시작******,
82,53,일반팀 우측에서 침착한 마무리 ⚽️,
84,22,일반팀 빠른 속공 후 골대 강타,
84,56,조끼팀 왼측에서 빠른 슈팅 골대 강타,
87,20,일반팀 중앙에서 패스플레이 후 마무리⚽️,
89,26,조끼팀 왼측에서 강력한 슈팅 키퍼 맞고 득점⚽️,
93,1,조끼팀 왼쪽에서 중거리 슛 골대 강타 이후 다시 마무리 ⚽️,
100,51,******3쿼터 종료******,
106,16,******4쿼터 시작******,
109,56,일반팀 골 ⚽️,
111,56,일반팀 골대 앞 아쉬운 찬스 미스,
113,15,일반팀 골대 왼쪽에서 잡고 180도 터닝 후 침착한 마무리 ⚽️,
114,53,조끼팀 스루패스를 받아 침착하게 마무리 ⚽️,
115,17,일반팀 상대 빌드업을 끊은 뒤 득점 ⚽️,
120,32,일반팀 상대 공을 가로챈 뒤 패스 내주고 마무리 ⚽️,
120,33,******경기 종료******,
,,,
