min,sec,tag
0,0,******1쿼터 시작******
5,5,조끼팀 중앙에서 강력한 슈팅 그러나 골대
6,49,일반팀 오른쪽에서 좋은 크로스 후 마무리 그러나 골키퍼 선방
9,0,일반팀 중앙에서 넘어짐 ❗
11,24,일반팀 중앙에서 슛 그러나 선방
13,15,조끼팀 왼쪽에서 좋은 찬스 마무리 ⚽️
15,15,일반팀 오른쪽 측면 플레이 후 마무리 ⚽️
19,27,조끼팀 속공 중 중앙에서 슈팅 마무리 ⚽️
20,48,조끼팀 측면 플레이 후 슈팅 그러나 골대
23,42,조끼팀 빠른 드리블 후 중앙에서 슈팅 그러나 선방
25,22,일반팀 오른쪽에서 슈팅 골키퍼의 좋은 선방
26,31,일반팀 중앙에서 빠른 슈팅 그러나 골대
26,58,조끼팀 상대 수비 공 탈취 후 깔끔한 마무리 ⚽️
30,28,조끼팀 오른쪽 뒤에서 좋은 롱패스 그러나 아쉬운 마무리
31,53,일반팀 오른쪽에서 크로스 받아 마무리 ⚽️
31,58,******1쿼터 종료******
39,23,******2쿼터 시작******
40,47,일반팀 세컨볼 받아 중앙에서 마무리 ⚽️
42,38,조끼팀 중앙에서 흘려주고 좋은 찬스 아쉬운 마무리
42,52,조끼팀 수비 실수 틈타 득점 ⚽️
44,23,조끼팀 중요 부위 맞으며 쓰러짐 ❗
46,41,조끼팀 자기 진영 부터 중앙에서 드리블 후 깔끔한 마무리 ⚽️
48,3,일반팀 오른쪽에서 크로스 이후 득점 ⚽️
48,53,일반팀 왼쪽에서 크로스 이후 상대편의 자책골 ⚽️
50,21,일반팀 중앙에서 슛 골키퍼 다리사이로 득점 ⚽️
52,23,조끼팀 중앙에서 강한 슈팅 ⚽️
52,56,일반팀 중앙에서 패스 받은 후 깔끔한 마무리 ⚽️
58,32,조끼팀 일대일 찬스에서 침착한 마무리 그러나 골대
59,58,조끼팀 왼쪽에서 좋은 개인기 이후 슈팅 그러나 골대
61,59,일반팀 득점 ⚽️
63,13,일반팀 슈팅 골키퍼 나이스 세이브
65,14,일반팀 왼쪽에서 강한 슈팅 그러나 골대
70,16,조끼팀 오른쪽에서 강한 슈팅 ⚽️
77,13,조끼팀 왼쪽에서 좋은 개인기 이후 마무리 ⚽️
77,15,******2쿼터 종료******
85,51,******3쿼터 시작******
87,41,일반팀 빠른 속공 그러나 아쉬운 마무리
91,18,조끼팀 상대편 해딩에 주요부위 맞고 쓰러짐 ❗
91,45,조끼팀 오른쪽으로의 좋은 패스 후 마무리 그러나 골대
92,33,일반팀 중앙에서 헤딩 이후 세컨볼 마무리 ⚽️
93,35,조끼팀 오른쪽에서 크로스 이후 감각적인 마무리 ⚽️
95,14,일반팀 오른쪽에서 슛 골대맞고 득점 ⚽️
96,29,조끼팀 긴 로빙 패스 받고 터닝 슛 ⚽️
99,55,조끼팀 중앙에서 좋은 패스 플레이 후 마무리 ⚽️
102,15,일반팀 좋은 속공 그러나 아쉬운 마무리
102,35,조끼팀 일대일 찬스 침착한 마무리 ⚽️
103,8,조끼팀 오른쪽에서 침착한 마무리 ⚽️
104,21,조끼팀 왼쪽에서 침착한 마무리 ⚽️
106,28,조끼팀 오른쪽에서 멋진 중거리 슈팅 ⚽️
111,55,조끼팀 혼전상황에서 마무리 ⚽️
113,32,일반팀 오른쪽 크로스 마무리 ⚽️
114,40,일반팀 중앙에서 중거리슛 ⚽️
114,40,******3쿼터 종료*****
